0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
,Carbon steel,Forged pipe,SA–369,FPB,K03006,,,1.0,1.0,415,240.0,538,NP,NP,NP,CS–2,"G10,","S1,",T1,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Forgings,SA–372,A,K03002,,,1.0,1.0,415,240.0,NP,NP,343,343,CS–2,,,,118,118,118,118,118,118.0,118.0,118.0,118.0,118.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Sheet,SA–414,D,K02505,,,1.0,1.0,415,240.0,NP,NP,482,343,CS–2,"G10,",T1,,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. & wld. fittings,SA–420,WPL6,,,,1.0,1.0,415,240.0,NP,371,454,343,CS–2,"G10,","T1,",W14,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. pipe,SA–524,I,K02104,,,1.0,1.0,415,240.0,NP,NP,538,343,CS–2,"G10,",T1,,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Bar,SA–696,B,K03200,,,1.0,1.0,415,240.0,NP,371,NP,NP,CS–2,T1,,,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,,,,,,,,,,,,,,,,,,,,,,
(23),Carbon steel,Forgings,SA–727,,K02506,,,1.0,1.0,415,250.0,NP,371,538,343,CS–2,"G10,",T1,,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,(23)
,Carbon steel,Wld. tube,SA–178,C,K03503,,,1.0,1.0,415,255.0,538,NP,NP,NP,CS–2,"G4,","G10,","S1, T2",118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.2,63.2,40.5,26.2,18.8,10.5,,,,,,,,,,,,,,,
,Carbon steel,Wld. tube,SA–178,C,K03503,,,1.0,1.0,415,255.0,538,371,NP,NP,CS–2,"G10,","S1,","T1, W13",118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Wld. tube,SA–178,C,K03503,,,1.0,1.0,415,255.0,538,NP,538,343,CS–2,"G3,","G10,","G24, S1, T2, W6",101,101,101,101,101,101.0,101.0,101.0,101.0,99.7,89.7,75.9,64.1,53.3,38.6,26.8,18.6,10.5,,,,,,,,,,,,,,,
