0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
26,Plate,SA/EN 10028–2,P355GH,,,150 < t ≤ 250,1.0,2.0,470,280.0,454,NP,538,NP,CS–2,"G10, S1, T1","G10, S1, T1","G10, S1, T1","G10, S1, T1",134,134,134,134,134,134,134,134,134,134,123.0,101.0,83.8,67.1,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,
27,Plate,SA/GB 713,Q345R,,,100 < t ≤ 150,1.0,2.0,480,285.0,427,NP,427,NP,CS–2,T1,T1,T1,T1,137,137,137,137,137,137,137,137,137,137,123.0,101.0,83.8,67.1,,,,,,,,,,,,,,,,,,
28,Plate,SA/EN 10028–2,P355GH,,,100 < t ≤ 150,1.0,2.0,480,295.0,454,NP,538,NP,CS–2,"G10, S1, T1","G10, S1, T1","G10, S1, T1","G10, S1, T1",137,137,137,137,137,137,137,137,137,137,123.0,101.0,83.8,67.1,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,
29,Plate,SA–455,,K03300,,15 < t ≤ 20,1.0,2.0,485,240.0,NP,204 (Cl. 3 only),343,343,CS–2,,,,,138,138,138,138,138,137,132,126,122,119,,,,,,,,,,,,,,,,,,,,,,
30,Bar,SA–675,70,,,,1.0,2.0,485,240.0,454,343 (Cl. 3 only),538,343,CS–2,"G10, G15, G22, S1, T2","G10, G15, G22, S1, T2","G10, G15, G22, S1, T2","G10, G15, G22, S1, T2",138,138,138,138,138,137,132,126,122,119,114.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
31,Forgings,SA–105,,K03504,,,1.0,2.0,485,250.0,538,371,538,343,CS–2,"G10, S1, T2","G10, S1, T2","G10, S1, T2","G10, S1, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
32,Forgings,SA–181,,K03502,70,,1.0,2.0,485,250.0,538,371,538,343,CS–2,"G10, S1, T2","G10, S1, T2","G10, S1, T2","G10, S1, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
33,Castings,SA–216,WCB,J03002,,,1.0,2.0,485,250.0,538,371,538,343,CS–2,"G1, G10, G17, S1, T2","G1, G10, G17, S1, T2","G1, G10, G17, S1, T2","G1, G10, G17, S1, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
34,Forgings,SA–266,2,K03506,,,1.0,2.0,485,250.0,538,371,538,343,CS–2,"G10, S1, T2","G10, S1, T2","G10, S1, T2","G10, S1, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
35,Forgings,SA–266,4,K03017,,,1.0,2.0,485,250.0,NP,NP,538,343,CS–2,"G10, T2","G10, T2","G10, T2","G10, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
36,Forgings,SA–350,LF2,K03011,1,,1.0,2.0,485,250.0,454,371,538,343,CS–2,"G10, T2","G10, T2","G10, T2","G10, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
37,Forgings,SA–350,LF2,K03011,2,,1.0,2.0,485,250.0,454,371,538,343,CS–2,"G10, T2","G10, T2","G10, T2","G10, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
38,Forgings,SA–508,1,K13502,,,1.0,2.0,485,250.0,NP,371,538,343,CS–2,"G10, T2","G10, T2","G10, T2","G10, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
39,Forgings,SA–508,1A,K13502,,,1.0,2.0,485,250.0,NP,371,538,343,CS–2,"G10, T2","G10, T2","G10, T2","G10, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
40,Forgings,SA–541,1,K03506,,,1.0,2.0,485,250.0,NP,371,538,343,CS–2,"G10, T2","G10, T2","G10, T2","G10, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
41,Forgings,SA–541,1A,K03020,,,1.0,2.0,485,250.0,NP,371,538,343,CS–2,"G10, T2","G10, T2","G10, T2","G10, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
42,Cast pipe,SA–660,WCB,J03003,,,1.0,2.0,485,250.0,538,371,NP,NP,CS–2,"G1, G10, G17, S1, T2","G1, G10, G17, S1, T2","G1, G10, G17, S1, T2","G1, G10, G17, S1, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
43,Forgings,SA–765,II,K03047,,,1.0,2.0,485,250.0,NP,NP,538,343,CS–2,"G10, T2","G10, T2","G10, T2","G10, T2",138,138,138,138,138,138,136,129,125,122,117.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,
44,Plate,SA–515,70,K03101,,,1.0,2.0,485,260.0,538,371,538,343,CS–2,"G10, S1, T2","G10, S1, T2","G10, S1, T2","G10, S1, T2",138,138,138,138,138,138,138,136,132,128,123.0,101.0,83.8,67.1,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,
45,Plate,SA–516,70,K02700,,,1.0,2.0,485,260.0,454,371,538,343,CS–2,"G10, S1, T2","G10, S1, T2","G10, S1, T2","G10, S1, T2",138,138,138,138,138,138,138,136,132,128,123.0,101.0,83.8,67.1,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,
