0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
,Carbon steel,Wld. pipe,SA–671,CB70,K03101,,,1.0,2.0,485,260.0,NP,371,NP,NP,CS–2,"S5,","W10, W12",138,138,138,138,138,138,138,136,132,128,123.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–671,CC70,K02700,,,1.0,2.0,485,260.0,NP,371,NP,NP,CS–2,"S6,","W10, W12",138,138,138,138,138,138,138,136,132,128,123.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,B70,K03101,,,1.0,2.0,485,260.0,NP,371,NP,NP,CS–2,"S5,","W10, W12",138,138,138,138,138,138,138,136,132,128,123.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,C70,K02700,,,1.0,2.0,485,260.0,NP,371,NP,NP,CS–2,"S6,","W10, W12",138,138,138,138,138,138,138,136,132,128,123.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/JIS G3118,SGV480,,,,1.0,2.0,485,260.0,454,NP,NP,NP,CS–2,"G10,","S1, T2",138,138,138,138,138,138,138,136,132,128,123.0,101.0,83.8,67.1,51.0,,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. pipe,SA–106,C,K03501,,,1.0,2.0,485,275.0,538,371,538,343,CS–2,"G10,","S1, T1",138,138,138,138,138,138,138,138,138,135,123.0,101.0,83.8,67.0,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,,
,Carbon steel,Wld. tube,SA–178,D,,,,1.0,2.0,485,275.0,538,NP,NP,NP,CS–2,"G10,","S1, T1, W13",138,138,138,138,138,138,138,138,138,135,123.0,101.0,83.8,67.0,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,,
,Carbon steel,Wld. tube,SA–178,D,,,,1.0,2.0,485,275.0,538,NP,NP,NP,CS–2,"G4,","G10, S1, T4",138,138,138,138,138,138,138,138,138,135,123.0,101.0,83.7,67.6,45.5,27.9,18.3,10.6,,,,,,,,,,,,,,,
,Carbon steel,Wld. tube,SA–178,D,,,,1.0,2.0,485,275.0,538,NP,NP,NP,CS–2,"G3,","G10, S1, T2",117,117,117,117,117,117,117,117,117,115,104.0,86.1,71.3,56.9,43.4,28.6,18.1,10.7,,,,,,,,,,,,,,,
,Carbon steel,Smls. tube,SA–210,C,K03501,,,1.0,2.0,485,275.0,538,NP,538,343,CS–2,"G10,","S1, T1",138,138,138,138,138,138,138,138,138,135,123.0,101.0,83.8,67.0,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,,
,Carbon steel,Castings,SA–216,WCC,J02503,,,1.0,2.0,485,275.0,538,371,538,343,CS–2,"G1,","G10, G17, S1, T1",138,138,138,138,138,138,138,138,138,135,123.0,101.0,83.8,67.0,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,,
,Carbon steel,Smls. & wld. fittings,SA–234,WPC,K03501,,,1.0,2.0,485,275.0,427,371,427,343,CS–2,"G10,","T1, W14",138,138,138,138,138,138,138,138,138,135,123.0,101.0,83.8,67.0,,,,,,,,,,,,,,,,,,,
,Carbon steel,Castings,SA–352,LCC,J02505,,,1.0,2.0,485,275.0,NP,371,NP,NP,CS–2,"G17,",T1,138,138,138,138,138,138,138,138,138,135,123.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Castings,SA–487,16,,A,,1.0,2.0,485,275.0,NP,371,NP,NP,CS–2,,,138,138,137,133,129,125,123,123,123,123,123.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–537,,K12437,3,100 < t ≤ 150,1.0,3.0,485,275.0,NP,NP,371,343,CS–2,"G23,",W11,138,138,138,137,136,135,131,126,123,121,118.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. tube,SA–556,C2,K03006,,,1.0,2.0,485,275.0,NP,NP,427,343,CS–2,"G10,",T1,138,138,138,138,138,138,138,138,138,135,123.0,101.0,83.8,67.0,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. tube,SA–557,C2,K03505,,,1.0,2.0,485,275.0,NP,NP,538,343,CS–2,"G24,","T2, W6",117,117,117,117,117,117,117,117,117,115,104.0,86.1,71.3,56.9,43.4,28.6,18.1,10.7,,,,,,,,,,,,,,,
,Carbon steel,Cast pipe,SA–660,WCC,J02505,,,1.0,2.0,485,275.0,538,371,NP,NP,CS–2,"G1,","G10, G17, S1, T1",138,138,138,138,138,138,138,138,138,135,123.0,101.0,83.8,67.0,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,,
,Carbon steel,Bar,SA–696,C,K03200,,,1.0,2.0,485,275.0,NP,371,NP,NP,CS–2,T1,,138,138,138,138,138,138,138,138,138,135,123.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Sheet,SA–414,F,K03102,,,1.0,2.0,485,290.0,NP,NP,482,343,CS–2,"G10,",T1,138,138,138,138,138,138,138,138,138,137,123.0,101.0,83.8,67.1,50.8,34.7,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–662,C,K02007,,,1.0,2.0,485,295.0,NP,NP,371,343,CS–3,T1,,138,138,138,138,138,138,138,138,138,137,123.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–537,,K12437,2,100 < t ≤ 150,1.0,3.0,485,315.0,NP,371,371,343,CS–3,"G23,","T1, W11",138,138,138,137,136,134,134,134,134,133,125.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–738,C,K02008,,100 < t ≤ 150,1.0,3.0,485,315.0,NP,343,343,343,CS–3,"G23,",W11,138,138,138,137,136,134,134,134,134,133,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–537,,K12437,1,≤65,1.0,2.0,485,345.0,NP,371,343,343,CS–3,"G23,",T1,138,138,138,137,136,134,134,134,134,133,125.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–671,CD70,K12437,,≤65,1.0,2.0,485,345.0,NP,371,NP,NP,CS–3,"S6,","T1, W10, W12",138,138,138,137,136,134,134,134,134,133,125.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,D70,K12437,,≤65,1.0,2.0,485,345.0,NP,371,NP,NP,CS–3,"S6,","T1, W10, W12",138,138,138,137,136,134,134,134,134,133,125.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–691,CMSH–70,K12437,,≤65,1.0,2.0,485,345.0,NP,371,NP,NP,CS–3,"S6,","T1, W10, W12",138,138,138,137,136,134,134,134,134,133,125.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–841,A,,1,≤100,1.0,2.0,485,345.0,NP,NP,343,NP,CS–3,,,138,138,138,138,138,138,138,138,138,138,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,"Plate, sheet, bar",SA–572,55,,,t ≤ 50,,,485,380.0,NP,NP,316,316,CS–3,,,138,138,138,138,138,138,138,138,138,138,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Round bar,SA–572,55,,,t ≤ 90,,,485,380.0,NP,NP,316,316,CS–3,,,138,138,138,138,138,138,138,138,138,138,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,"Sheet, strip",SA–1011,55,HSLAS,1,,,,480,380.0,NP,NP,316,316,CS–3,,,138,138,138,138,138,138,138,138,138,138,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,"Sheet, strip",SA–1011,60,HSLAS,2,,,,480,410.0,NP,NP,316,316,CS–3,,,138,138,138,138,138,138,138,138,138,138,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Forgings,SA/EN 10222–2,P305GH,,NT,35 < t ≤ 160,1.0,2.0,490,280.0,538,NP,538,NP,CS–2,"G10,","S1, T2",140,140,140,140,140,140,140,140,140,136,132.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,,
,Carbon steel,Forgings,SA/EN 10222–2,P305GH,,Normalized,t ≤ 35,1.0,2.0,490,305.0,538,NP,538,NP,CS–2,"G10,","S1, T1",140,140,140,140,140,140,140,140,140,140,136.0,101.0,83.9,67.0,51.1,33.6,21.3,12.9,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/GB 713,Q345R,,,60 < t ≤ 100,1.0,2.0,490,305.0,427,NP,427,NP,CS–2,T1,,140,140,140,140,140,140,140,140,140,140,123.0,101.0,83.8,67.1,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/EN 10028–2,P355GH,,,60 < t ≤ 100,1.0,2.0,490,315.0,454,NP,538,NP,CS–2,"G10,","S1, T1",140,140,140,140,140,140,140,140,140,140,123.0,101.0,83.8,67.1,51.0,33.6,21.3,12.9,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/GB 713,Q345R,,,36 < t ≤ 60,1.0,2.0,490,315.0,427,NP,427,NP,CS–2,T1,,140,140,140,140,140,140,140,140,140,140,123.0,101.0,83.8,67.1,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/GB 713,Q345R,,,16 < t ≤ 36,1.0,2.0,500,325.0,427,NP,427,NP,CS–2,T1,,143,143,143,143,143,143,143,143,143,143,123.0,101.0,83.8,67.1,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–455,,K03300,,9.5 < t ≤ 15,1.0,2.0,505,255.0,NP,204 (Cl. 3 only),343,343,CS–2,,,144,144,144,144,144,144,140,133,129,125,,,,,,,,,,,,,,,,,,,,,,,
