0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,Wld. pipe,SA–671,CK75,K02803,,>25,1,2.0,515,275.0,NP,371,NP,NP,CS–2,"S6,","W10, W12",,148,148,148,148,148,148,148,143,139,135,130.0,,,,,,,,,,,,,,,,,,,,,
2,Wld. pipe,SA–672,N75,K02803,,>25,1,2.0,515,275.0,NP,371,NP,NP,CS–2,"S6,","W10, W12",,148,148,148,148,148,148,148,143,139,135,130.0,,,,,,,,,,,,,,,,,,,,,
3,Wld. pipe,SA–691,CMS–75,K02803,,>25,1,2.0,515,275.0,NP,371,NP,NP,CS–2,"S6,","W10, W12",,148,148,148,148,148,148,148,143,139,135,130.0,,,,,,,,,,,,,,,,,,,,,
4,Plate,SA–299,A,K02803,,≤25,1,2.0,515,290.0,538,371,538,343,CS–2,"G10, S1, T1","G10, S1, T1","G10, S1, T1",148,148,148,148,148,148,148,148,147,141,133.0,107.0,88.1,67.6,50.8,33.7,21.3,12.9,,,,,,,,,,,,,,
5,Wld. pipe,SA–691,CMS–75,K02803,,≤25,1,2.0,515,290.0,NP,371,NP,NP,CS–2,"T1, W10, W12","T1, W10, W12","T1, W10, W12",148,148,148,148,148,148,148,148,147,141,133.0,,,,,,,,,,,,,,,,,,,,,
6,Forgings,SA–372,B,K04001,,,1,2.0,515,310.0,NP,NP,343,343,CS–3,W11,W11,W11,148,148,148,148,148,148,148,148,148,148,,,,,,,,,,,,,,,,,,,,,,
7,Sheet,SA–414,G,K03103,,,1,2.0,515,310.0,NP,NP,482,343,CS–3,"G10, T1","G10, T1","G10, T1",148,148,148,148,148,148,148,148,148,146,132.0,107.0,88.2,67.6,50.6,34.9,,,,,,,,,,,,,,,,
8,Plate,SA–738,A,K12447,,,1,2.0,515,310.0,NP,NP,371,343,CS–2,T1,T1,T1,148,148,148,148,148,148,148,148,148,146,132.0,,,,,,,,,,,,,,,,,,,,,
9,Plate,SA–537,,K12437,3,65 < t ≤ 100,1,3.0,515,345.0,NP,NP,371,343,CS–5,"G23, T1, W11","G23, T1, W11","G23, T1, W11",148,148,147,147,145,144,144,144,144,142,123.0,,,,,,,,,,,,,,,,,,,,,
10,Plate,SA–537,,K12437,2,65 < t ≤ 100,1,3.0,515,380.0,NP,371,343,343,CS–5,"G23, T1, W11","G23, T1, W11","G23, T1, W11",148,148,147,147,145,144,144,144,144,143,134.0,,,,,,,,,,,,,,,,,,,,,
11,Wld. pipe,SA–691,CMSH–80,K12437,,65 < t ≤ 100,1,3.0,515,380.0,NP,371,NP,NP,CS–5,"G26, T1, W10, W12","G26, T1, W10, W12","G26, T1, W10, W12",148,148,147,147,145,144,144,144,144,143,134.0,,,,,,,,,,,,,,,,,,,,,
12,Plate,SA–738,C,K02008,,65 < t ≤ 100,1,3.0,515,380.0,NP,343,343,343,CS–5,"G23, W11","G23, W11","G23, W11",148,148,147,147,145,144,144,144,144,143,,,,,,,,,,,,,,,,,,,,,,
13,"Plate, sheet, bar",SA–572,60,,,t ≤ 32,,,520,415.0,NP,NP,316,316,CS–3,,,,148,148,147,147,145,144,144,144,144,143,,,,,,,,,,,,,,,,,,,,,,
14,Round bar,SA–572,60,,,t ≤ 90,,,520,415.0,NP,NP,316,316,CS–3,,,,148,148,147,147,145,144,144,144,144,143,,,,,,,,,,,,,,,,,,,,,,
